Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;xG_90;xAG_90;xG+xAG_90;npxG_90;npxG+xAG_90
Noah Atubolu;de GER;GK;Freiburg;de Bundesliga;22;2002;26;26;2307;25.6;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Emil Audero;id IDN;GK;Como;it Serie A;27;1997;8;8;720;8.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Tommaso Augello;it ITA;DF;Cagliari;it Serie A;29;1994;38;30;2713;30.1;0;7;7;0;0;0;3;0;0.3;0.3;4.6;4.9;58;118;113;0.00;0.23;0.23;0.00;0.23;0.01;0.15;0.16;0.01;0.16
Carlos Augusto;br BRA;DF;Inter;it Serie A;25;1999;29;15;1691;18.8;3;2;5;3;0;0;1;0;2.8;2.8;1.6;4.4;31;80;83;0.16;0.11;0.27;0.16;0.27;0.15;0.08;0.23;0.15;0.23
Yann Aurel Bisseck;de GER;DF;Inter;it Serie A;23;2000;27;17;1643;18.3;3;2;5;3;0;0;4;0;2.6;2.6;0.9;3.4;32;93;44;0.16;0.11;0.27;0.16;0.27;0.14;0.05;0.19;0.14;0.19
Brandon Austin;eng ENG;GK;Tottenham;eng Premier League;25;1999;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ezequiel Ávila;ar ARG;FW;Betis;es La Liga;30;1994;19;6;677;7.5;2;0;2;2;0;0;5;1;1.5;1.5;1.0;2.5;12;18;48;0.27;0.00;0.27;0.27;0.27;0.20;0.14;0.34;0.20;0.34
Taiwo Awoniyi;ng NGA;FW;Nott'ham Forest;eng Premier League;26;1997;26;3;416;4.6;1;0;1;1;0;0;0;0;2.1;2.1;0.1;2.2;6;7;20;0.22;0.00;0.22;0.22;0.22;0.46;0.02;0.48;0.46;0.48
Yasin Ayari;se SWE;MF;Brighton;eng Premier League;20;2003;34;22;1965;21.8;2;1;3;2;0;0;3;0;2.4;2.4;2.3;4.8;30;75;61;0.09;0.05;0.14;0.09;0.14;0.11;0.11;0.22;0.11;0.22
Florian Ayé;fr FRA;FW;Auxerre;fr Ligue 1;27;1997;26;4;575;6.4;2;0;2;2;0;0;0;0;1.9;1.9;0.1;2.0;5;7;30;0.31;0.00;0.31;0.31;0.31;0.30;0.02;0.32;0.30;0.32
André Ayew;gh GHA;FW;Le Havre;fr Ligue 1;34;1989;27;15;1453;16.1;4;1;5;4;0;0;2;0;4.3;4.3;0.2;4.6;5;18;43;0.25;0.06;0.31;0.25;0.31;0.27;0.02;0.28;0.27;0.28
Jordan Ayew;gh GHA;FW,MF;Crystal Palace;eng Premier League;32;1991;1;0;21;0.2;0;0;0;0;0;0;1;0;0.5;0.5;0.0;0.5;0;0;1;0.00;0.00;0.00;0.00;0.00;1.96;0.21;2.17;1.96;2.17
Jordan Ayew;gh GHA;FW,MF;Leicester City;eng Premier League;32;1991;30;19;1638;18.2;5;0;5;4;1;1;5;0;3.2;2.4;1.1;3.5;49;46;86;0.27;0.00;0.27;0.22;0.22;0.17;0.06;0.24;0.13;0.19
Neil El Aynaoui;fr FRA;MF;Lens;fr Ligue 1;23;2001;24;17;1588;17.6;8;1;9;5;3;3;4;0;4.0;1.6;2.0;3.6;11;75;29;0.45;0.06;0.51;0.28;0.34;0.23;0.11;0.34;0.09;0.21
Ayman Azhil;ma MAR;MF;Dortmund;de Bundesliga;23;2001;1;0;24;0.3;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Adam Aznou;ma MAR;DF;Valladolid;es La Liga;18;2006;13;10;876;9.7;0;0;0;0;0;0;1;0;0.3;0.3;0.3;0.6;16;25;26;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.06;0.03;0.06
Adam Aznou;ma MAR;DF;Bayern Munich;de Bundesliga;18;2006;2;0;17;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
César Azpilicueta;es ESP;DF;Atlético Madrid;es La Liga;34;1989;14;10;875;9.7;1;0;1;1;0;0;1;0;0.2;0.2;0.1;0.3;13;66;20;0.10;0.00;0.10;0.10;0.10;0.02;0.01;0.03;0.02;0.03
Paulo Azzi;br BRA;DF;Cagliari;it Serie A;30;1994;6;5;426;4.7;0;0;0;0;0;0;2;0;0.5;0.5;0.9;1.4;15;13;26;0.00;0.00;0.00;0.00;0.00;0.11;0.19;0.30;0.11;0.30
