Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;xG_90;xAG_90;xG+xAG_90;npxG_90;npxG+xAG_90
Alfonso Espino;uy URU;DF;Rayo Vallecano;es La Liga;32;1992;16;9;833;9.3;0;1;1;0;0;0;4;0;0.4;0.4;0.6;1.1;10;39;29;0.00;0.11;0.11;0.00;0.11;0.05;0.07;0.12;0.05;0.12
Sebastiano Esposito;it ITA;FW,MF;Empoli;it Serie A;22;2002;33;27;2331;25.9;8;0;8;7;1;2;1;0;5.7;4.2;2.1;6.3;31;93;106;0.31;0.00;0.31;0.27;0.27;0.22;0.08;0.30;0.16;0.24
Romain Esse;eng ENG;MF;Crystal Palace;eng Premier League;19;2005;7;1;138;1.5;1;1;2;1;0;0;0;0;0.3;0.3;0.4;0.7;1;7;14;0.65;0.65;1.30;0.65;1.30;0.21;0.27;0.48;0.21;0.48
Samuel Essende;cd COD;FW;Augsburg;de Bundesliga;26;1998;30;21;1636;18.2;7;2;9;7;0;0;4;2;4.2;4.2;1.3;5.5;33;21;118;0.39;0.11;0.50;0.39;0.50;0.23;0.07;0.30;0.23;0.30
Dario Essugo;pt POR;MF;Las Palmas;es La Liga;19;2005;27;25;1938;21.5;1;0;1;1;0;0;11;2;0.7;0.7;0.4;1.0;18;76;8;0.05;0.00;0.05;0.05;0.05;0.03;0.02;0.05;0.03;0.05
Estanis;es ESP;FW;Bologna;it Serie A;20;2003;1;0;9;0.1;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.2;1;0;1;0.00;0.00;0.00;0.00;0.00;0.71;1.65;2.35;0.71;2.35
Nahuel Estévez;ar ARG;MF;Parma;it Serie A;28;1995;14;7;657;7.3;0;0;0;0;0;0;3;0;0.1;0.1;0.8;0.8;3;30;4;0.00;0.00;0.00;0.00;0.00;0.01;0.10;0.12;0.01;0.12
Pervis Estupiñán;ec ECU;DF;Brighton;eng Premier League;26;1998;30;26;2402;26.7;1;1;2;1;0;0;5;0;1.2;1.2;2.1;3.3;59;132;112;0.04;0.04;0.07;0.04;0.07;0.04;0.08;0.12;0.04;0.12
Etienne Eto'o;cm CMR;FW;Rayo Vallecano;es La Liga;21;2002;2;0;40;0.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Karl Etta;cm CMR;MF,FW;Villarreal;es La Liga;20;2003;4;0;37;0.4;1;0;1;1;0;0;0;0;0.4;0.4;0.0;0.4;0;0;0;2.43;0.00;2.43;2.43;2.43;0.88;0.00;0.88;0.88;0.88
Evanilson;br BRA;FW;Bournemouth;eng Premier League;24;1999;31;28;2319;25.8;10;1;11;10;0;1;1;1;12.5;11.7;1.9;13.6;29;28;99;0.39;0.04;0.43;0.39;0.43;0.48;0.07;0.56;0.45;0.53
Jake Evans;;FW;Leicester City;eng Premier League;;;4;0;24;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Jonny Evans;nir NIR;DF;Manchester Utd;eng Premier League;36;1988;7;3;315;3.5;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;3;10;3;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04
Edu Expósito;es ESP;MF;Espanyol;es La Liga;27;1996;19;12;1045;11.6;0;2;2;0;0;0;3;0;1.0;1.0;3.2;4.2;23;64;41;0.00;0.17;0.17;0.00;0.17;0.09;0.27;0.36;0.09;0.36
Eberechi Eze;eng ENG;MF,FW;Crystal Palace;eng Premier League;26;1998;34;31;2588;28.8;8;8;16;7;1;2;1;0;10.4;8.9;6.2;15.1;68;97;153;0.28;0.28;0.56;0.24;0.52;0.36;0.22;0.58;0.31;0.52
Abde Ezzalzouli;ma MAR;FW,MF;Betis;es La Liga;22;2001;32;23;1984;22.0;2;2;4;2;0;1;2;0;8.0;7.2;2.0;9.3;117;68;215;0.09;0.09;0.18;0.09;0.18;0.36;0.09;0.46;0.33;0.42
Giovanni Fabbian;it ITA;MF;Bologna;it Serie A;21;2003;30;9;1023;11.4;3;1;4;3;0;0;2;0;2.3;2.3;1.3;3.7;14;17;43;0.26;0.09;0.35;0.26;0.35;0.21;0.12;0.32;0.21;0.32
Łukasz Fabiański;pl POL;GK;West Ham;eng Premier League;39;1985;14;13;1160;12.9;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Alieu Fadera;gm GAM;FW,DF;Como;it Serie A;22;2001;28;20;1644;18.3;1;3;4;1;0;0;2;1;1.7;1.7;4.0;5.7;74;36;160;0.05;0.16;0.22;0.05;0.22;0.09;0.22;0.31;0.09;0.31
Wout Faes;be BEL;DF;Leicester City;eng Premier League;26;1998;34;30;2815;31.3;1;0;1;1;0;0;4;0;1.5;1.5;0.1;1.6;12;86;1;0.03;0.00;0.03;0.03;0.03;0.05;0.00;0.05;0.05;0.05
Nicolò Fagioli;it ITA;MF;Fiorentina;it Serie A;23;2001;15;10;962;10.7;1;2;3;1;0;0;0;0;0.5;0.5;3.0;3.5;15;50;19;0.09;0.19;0.28;0.09;0.28;0.05;0.28;0.32;0.05;0.32
Nicolò Fagioli;it ITA;MF;Juventus;it Serie A;23;2001;17;5;571;6.3;0;0;0;0;0;0;4;0;0.6;0.6;0.1;0.7;19;41;18;0.00;0.00;0.00;0.00;0.00;0.09;0.02;0.11;0.09;0.11
Romain Faivre;fr FRA;MF,FW;Brest;fr Ligue 1;26;1998;20;10;899;10.0;3;2;5;2;1;1;2;0;2.6;1.8;1.9;3.7;24;44;49;0.30;0.20;0.50;0.20;0.40;0.26;0.19;0.45;0.18;0.37
Wladimiro Falcone;it ITA;GK;Lecce;it Serie A;29;1995;38;38;3420;38.0;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Davide Faraoni;it ITA;DF;Hellas Verona;it Serie A;32;1991;8;3;260;2.9;0;0;0;0;0;0;1;0;0.2;0.2;0.1;0.3;2;3;13;0.00;0.00;0.00;0.00;0.00;0.07;0.05;0.12;0.07;0.12
Abdul Fatawu Issahaku;gh GHA;FW;Leicester City;eng Premier League;20;2004;11;6;579;6.4;0;2;2;0;0;0;0;0;0.4;0.4;1.6;2.0;42;17;60;0.00;0.31;0.31;0.00;0.31;0.06;0.24;0.31;0.06;0.31
Ansu Fati;es ESP;FW;Barcelona;es La Liga;21;2002;6;3;233;2.6;0;0;0;0;0;0;1;0;1.0;1.0;0.2;1.1;7;6;32;0.00;0.00;0.00;0.00;0.00;0.38;0.06;0.44;0.38;0.44
Khalil Fayad;fr FRA;MF,FW;Montpellier;fr Ligue 1;20;2004;20;10;1028;11.4;0;0;0;0;0;0;5;0;1.3;1.3;0.3;1.5;25;50;42;0.00;0.00;0.00;0.00;0.00;0.11;0.02;0.13;0.11;0.13
Jacopo Fazzini;it ITA;MF;Empoli;it Serie A;21;2003;20;16;1383;15.4;4;1;5;4;0;0;1;1;3.1;3.1;0.5;3.6;34;49;88;0.26;0.07;0.33;0.26;0.33;0.20;0.03;0.23;0.20;0.23
Nabil Fekir;fr FRA;MF;Betis;es La Liga;31;1993;2;2;180;2.0;0;1;1;0;0;0;0;0;0.7;0.7;0.5;1.2;9;10;18;0.00;0.50;0.50;0.00;0.50;0.34;0.26;0.61;0.34;0.61
Mattia Felici;it ITA;MF,FW;Cagliari;it Serie A;23;2001;20;9;925;10.3;0;3;3;0;0;0;1;0;0.6;0.6;1.0;1.6;39;19;75;0.00;0.29;0.29;0.00;0.29;0.06;0.10;0.16;0.06;0.16
Luiz Felipe;it ITA;DF;Marseille;fr Ligue 1;27;1997;4;2;122;1.4;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
João Félix;pt POR;FW,MF;Chelsea;eng Premier League;24;1999;12;3;369;4.1;1;1;2;1;0;0;2;0;2.2;2.2;1.0;3.2;21;26;30;0.24;0.24;0.49;0.24;0.49;0.54;0.23;0.78;0.54;0.78
João Félix;pt POR;MF;Milan;it Serie A;24;1999;15;8;760;8.4;2;0;2;2;0;0;3;0;2.7;2.7;1.2;3.8;20;40;56;0.24;0.00;0.24;0.24;0.24;0.32;0.14;0.46;0.32;0.46
Frank Feller;de GER;GK;Heidenheim;de Bundesliga;20;2004;2;1;121;1.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Kiko Femenía;es ESP;DF;Villarreal;es La Liga;33;1991;28;27;2227;24.7;0;1;1;0;0;0;7;0;0.4;0.4;1.3;1.7;52;112;44;0.00;0.04;0.04;0.00;0.04;0.01;0.05;0.07;0.01;0.07
Evan Ferguson;ie IRL;FW;West Ham;eng Premier League;19;2004;8;1;156;1.7;0;0;0;0;0;0;0;0;0.6;0.6;0.3;0.9;1;1;7;0.00;0.00;0.00;0.00;0.00;0.32;0.17;0.50;0.32;0.50
Evan Ferguson;ie IRL;FW;Brighton;eng Premier League;19;2004;13;2;246;2.7;1;0;1;1;0;0;0;0;0.5;0.5;0.4;1.0;2;1;9;0.37;0.00;0.37;0.37;0.37;0.20;0.15;0.35;0.20;0.35
Lewis Ferguson;sct SCO;MF;Bologna;it Serie A;24;1999;16;10;983;10.9;1;1;2;0;1;1;0;0;1.0;0.2;1.1;1.3;20;53;26;0.09;0.09;0.18;0.00;0.09;0.09;0.10;0.19;0.02;0.12
Zinedine Ferhat;dz ALG;FW,MF;Angers;fr Ligue 1;31;1993;24;8;849;9.4;2;0;2;2;0;0;1;0;1.4;1.4;2.4;3.7;16;40;64;0.21;0.00;0.21;0.21;0.21;0.14;0.25;0.40;0.14;0.40
Bruno Fernandes;pt POR;MF;Manchester Utd;eng Premier League;29;1994;36;35;3018;33.5;8;10;18;5;3;3;5;2;9.9;7.6;8.5;16.1;77;325;129;0.24;0.30;0.54;0.15;0.45;0.30;0.25;0.55;0.23;0.48
Edimilson Fernandes;ch SUI;MF,DF;Brest;fr Ligue 1;28;1996;19;12;1105;12.3;0;1;1;0;0;0;1;0;0.4;0.4;0.6;1.0;7;40;3;0.00;0.08;0.08;0.00;0.08;0.03;0.05;0.08;0.03;0.08
Mateus Fernandes;pt POR;MF;Southampton;eng Premier League;20;2004;36;34;2909;32.3;2;4;6;2;0;0;8;0;4.0;4.0;3.0;7.0;76;145;108;0.06;0.12;0.19;0.06;0.19;0.12;0.09;0.22;0.12;0.22
Aitor Fernández;es ESP;GK;Osasuna;es La Liga;33;1991;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Álvaro Fernández;es ESP;GK;Sevilla;es La Liga;26;1998;9;8;747;8.3;0;0;0;0;0;0;2;0;0.0;0.0;0.1;0.1;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02
Enzo Fernández;ar ARG;MF;Chelsea;eng Premier League;23;2001;36;32;2947;32.7;6;7;13;6;0;0;8;0;6.1;6.1;6.8;12.9;60;212;126;0.18;0.21;0.40;0.18;0.40;0.19;0.21;0.39;0.19;0.39
Pelayo Fernandez;es ESP;DF;Rayo Vallecano;es La Liga;21;2003;2;1;98;1.1;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Roberto Férnandez;es ESP;FW;Espanyol;es La Liga;22;2002;19;18;1497;16.6;6;0;6;6;0;0;1;0;3.6;3.6;0.6;4.2;7;17;50;0.36;0.00;0.36;0.36;0.36;0.21;0.04;0.25;0.21;0.25
Valery Fernández;es ESP;MF,FW;Mallorca;es La Liga;24;1999;18;1;309;3.4;2;0;2;2;0;0;1;0;0.8;0.8;0.0;0.9;2;5;14;0.58;0.00;0.58;0.58;0.58;0.24;0.01;0.25;0.24;0.25
Matias Fernandez-Pardo;be BEL;FW,MF;Lille;fr Ligue 1;19;2005;22;12;1065;11.8;4;2;6;4;0;0;4;0;2.9;2.9;2.8;5.7;46;26;85;0.34;0.17;0.51;0.34;0.51;0.24;0.24;0.48;0.24;0.48
André Ferreira;pt POR;GK;Valladolid;es La Liga;28;1996;6;6;540;6.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Jordan Ferri;fr FRA;MF;Montpellier;fr Ligue 1;32;1992;25;21;1773;19.7;0;2;2;0;0;0;6;1;0.4;0.4;0.9;1.3;19;137;42;0.00;0.10;0.10;0.00;0.10;0.02;0.05;0.07;0.02;0.07
Daniel Fila;cz CZE;FW;Venezia;it Serie A;21;2002;10;6;492;5.5;2;0;2;2;0;0;3;1;1.4;1.4;0.3;1.8;5;8;30;0.37;0.00;0.37;0.37;0.37;0.26;0.06;0.32;0.26;0.32
Karol Fila;pl POL;MF;Strasbourg;fr Ligue 1;26;1998;1;0;5;0.1;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Kilian Fischer;de GER;DF;Wolfsburg;de Bundesliga;23;2000;32;29;2297;25.5;1;0;1;1;0;0;7;0;0.3;0.3;0.5;0.8;51;110;89;0.04;0.00;0.04;0.04;0.04;0.01;0.02;0.03;0.01;0.03
Mark Flekken;nl NED;GK;Brentford;eng Premier League;31;1993;37;37;3275;36.4;0;2;2;0;0;0;1;0;0.0;0.0;0.5;0.5;0;0;0;0.00;0.05;0.05;0.00;0.05;0.00;0.01;0.01;0.00;0.01
Alessandro Florenzi;it ITA;FW;Milan;it Serie A;33;1991;1;0;5;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Mateo Flores;es ESP;MF;Betis;es La Liga;20;2004;6;1;153;1.7;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;9;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Phil Foden;eng ENG;MF,FW;Manchester City;eng Premier League;24;2000;28;20;1777;19.7;7;2;9;7;0;0;2;0;5.2;5.2;4.8;9.9;50;103;128;0.35;0.10;0.46;0.35;0.46;0.26;0.24;0.50;0.26;0.50
Malick Fofana;be BEL;FW;Lyon;fr Ligue 1;19;2005;29;16;1589;17.7;5;4;9;5;0;0;2;0;3.8;3.8;3.7;7.6;112;45;205;0.28;0.23;0.51;0.28;0.51;0.22;0.21;0.43;0.22;0.43
Rayan Fofana;fr FRA;FW,MF;Lens;fr Ligue 1;18;2006;2;0;25;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Seko Fofana;ci CIV;MF;Rennes;fr Ligue 1;29;1995;16;9;844;9.4;1;1;2;1;0;0;3;0;1.8;1.8;1.2;2.9;32;72;38;0.11;0.11;0.21;0.11;0.21;0.19;0.13;0.31;0.19;0.31
Wesley Fofana;fr FRA;DF;Chelsea;eng Premier League;23;2000;14;14;1172;13.0;0;0;0;0;0;0;7;0;0.4;0.4;0.4;0.8;19;32;4;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.07;0.03;0.06
Yahia Fofana;ci CIV;GK;Angers;fr Ligue 1;23;2000;33;33;2970;33.0;0;0;0;0;0;0;4;0;0.0;0.0;0.1;0.1;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Youssouf Fofana;fr FRA;MF;Milan;it Serie A;25;1999;35;29;2504;27.8;1;6;7;1;0;0;5;0;1.3;1.3;3.4;4.7;44;176;32;0.04;0.22;0.25;0.04;0.25;0.05;0.12;0.17;0.05;0.17
Jonas Föhrenbach;de GER;DF;Heidenheim;de Bundesliga;28;1996;27;22;1832;20.4;0;1;1;0;0;0;3;0;0.3;0.3;1.3;1.6;36;59;50;0.00;0.05;0.05;0.00;0.05;0.01;0.06;0.08;0.01;0.08
Michael Folorunsho;it ITA;FW,MF;Fiorentina;it Serie A;26;1998;14;6;650;7.2;0;0;0;0;0;0;5;0;1.1;1.1;0.6;1.7;13;21;33;0.00;0.00;0.00;0.00;0.00;0.15;0.08;0.23;0.15;0.23
Michael Folorunsho;it ITA;FW,MF;Napoli;it Serie A;26;1998;6;0;35;0.4;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;0;2;0.00;0.00;0.00;0.00;0.00;0.27;0.00;0.27;0.27;0.27
Lamine Fomba;fr FRA;MF;Saint-Étienne;fr Ligue 1;26;1998;7;3;217;2.4;0;0;0;0;0;0;2;0;0.0;0.0;0.3;0.3;5;18;5;0.00;0.00;0.00;0.00;0.00;0.01;0.12;0.13;0.01;0.13
Carlos Forbs;pt POR;MF,FW;Wolves;eng Premier League;20;2004;10;1;239;2.7;0;0;0;0;0;0;2;0;0.1;0.1;0.0;0.2;10;8;28;0.00;0.00;0.00;0.00;0.00;0.05;0.01;0.07;0.05;0.07
Pablo Fornals;es ESP;MF,FW;Betis;es La Liga;28;1996;26;22;1827;20.3;2;0;2;2;0;0;2;0;1.8;1.8;3.3;5.1;32;146;85;0.10;0.00;0.10;0.10;0.10;0.09;0.16;0.25;0.09;0.25
Omari Forson;eng ENG;MF,FW;Monza;it Serie A;20;2004;9;1;223;2.5;0;0;0;0;0;0;0;0;0.2;0.2;0.5;0.7;14;10;18;0.00;0.00;0.00;0.00;0.00;0.09;0.21;0.30;0.09;0.30
Fraser Forster;eng ENG;GK;Tottenham;eng Premier League;36;1988;7;7;630;7.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Héctor Fort;es ESP;DF;Barcelona;es La Liga;17;2006;17;5;585;6.5;0;0;0;0;0;0;2;0;0.2;0.2;0.9;1.1;14;26;33;0.00;0.00;0.00;0.00;0.00;0.04;0.13;0.17;0.04;0.17
Dimitri Foulquier;fr FRA;DF;Valencia;es La Liga;31;1993;32;25;2299;25.5;0;1;1;0;0;0;6;0;0.4;0.4;1.4;1.8;48;97;66;0.00;0.04;0.04;0.00;0.04;0.02;0.05;0.07;0.02;0.07
Juan Foyth;ar ARG;DF;Villarreal;es La Liga;26;1998;19;17;1517;16.9;1;0;1;1;0;0;4;0;2.4;2.4;0.3;2.8;13;65;11;0.06;0.00;0.06;0.06;0.06;0.14;0.02;0.16;0.14;0.16
Fran;es ESP;GK;Real Madrid;es La Liga;19;2005;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Matheus França;br BRA;MF,FW;Crystal Palace;eng Premier League;20;2004;4;0;55;0.6;1;0;1;1;0;0;0;0;0.3;0.3;0.0;0.3;4;3;4;1.64;0.00;1.64;1.64;1.64;0.42;0.00;0.42;0.42;0.42
Alejandro Francés;es ESP;DF;Girona;es La Liga;21;2002;18;13;1173;13.0;0;0;0;0;0;0;2;0;0.2;0.2;0.3;0.6;18;63;21;0.00;0.00;0.00;0.00;0.00;0.02;0.03;0.04;0.02;0.04
Przemysław Frankowski;pl POL;DF;Lens;fr Ligue 1;29;1995;18;16;1387;15.4;4;2;6;2;2;2;3;0;2.3;0.7;2.5;3.2;33;117;95;0.26;0.13;0.39;0.13;0.26;0.15;0.16;0.31;0.05;0.21
Enric Franquesa;es ESP;DF,FW;Leganés;es La Liga;27;1997;12;7;616;6.8;1;0;1;1;0;0;1;0;0.3;0.3;0.1;0.4;11;12;30;0.15;0.00;0.15;0.15;0.15;0.04;0.02;0.06;0.04;0.06
Ryan Fraser;sct SCO;FW,DF;Southampton;eng Premier League;30;1994;8;4;306;3.4;0;0;0;0;0;0;0;1;0.0;0.0;0.1;0.1;10;8;18;0.00;0.00;0.00;0.00;0.00;0.01;0.03;0.04;0.01;0.04
Davide Frattesi;it ITA;MF;Inter;it Serie A;24;1999;28;9;1225;13.6;5;1;6;5;0;0;1;0;4.0;4.0;0.8;4.8;23;31;50;0.37;0.07;0.44;0.37;0.44;0.29;0.06;0.35;0.29;0.35
Tyler Fredricson;eng ENG;DF;Manchester Utd;eng Premier League;19;2005;2;2;165;1.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Morten Frendrup;dk DEN;MF;Genoa;it Serie A;23;2001;35;35;3103;34.5;2;0;2;2;0;0;5;0;1.6;1.6;0.9;2.5;24;106;29;0.06;0.00;0.06;0.06;0.06;0.05;0.03;0.07;0.05;0.07
Martin Frese;dk DEN;DF;Hellas Verona;it Serie A;26;1998;11;5;549;6.1;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.2;7;19;12;0.00;0.00;0.00;0.00;0.00;0.01;0.03;0.04;0.01;0.04
Remo Freuler;ch SUI;MF;Bologna;it Serie A;32;1992;37;37;3204;35.6;1;2;3;1;0;0;6;0;1.3;1.3;1.5;2.7;39;208;56;0.03;0.06;0.08;0.03;0.08;0.04;0.04;0.08;0.04;0.08
Marco Friedl;at AUT;DF;Werder Bremen;de Bundesliga;26;1998;26;25;2161;24.0;0;0;0;0;0;0;10;2;0.5;0.5;0.2;0.7;4;69;1;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03
Marvin Friedrich;de GER;DF;Gladbach;de Bundesliga;28;1995;22;9;989;11.0;0;1;1;0;0;0;0;0;0.4;0.4;0.6;1.1;11;36;3;0.00;0.09;0.09;0.00;0.09;0.04;0.06;0.10;0.04;0.10
Jeremie Frimpong;nl NED;DF,MF;Leverkusen;de Bundesliga;23;2000;33;25;2314;25.7;5;5;10;5;0;0;4;0;4.1;4.1;4.2;8.3;100;55;272;0.19;0.19;0.39;0.19;0.39;0.16;0.16;0.32;0.16;0.32
Jorge de Frutos;es ESP;FW,MF;Rayo Vallecano;es La Liga;27;1997;36;30;2495;27.7;6;3;9;6;0;0;3;1;6.3;6.3;3.4;9.8;77;44;201;0.22;0.11;0.32;0.22;0.32;0.23;0.12;0.35;0.23;0.35
Darío Fuentes;es ESP;DF;Sevilla;es La Liga;21;2003;1;0;5;0.1;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Chris Führich;de GER;MF,FW;Stuttgart;de Bundesliga;26;1998;33;23;1981;22.0;2;3;5;2;0;0;1;0;2.9;2.9;3.7;6.6;114;95;202;0.09;0.14;0.23;0.09;0.23;0.13;0.17;0.30;0.13;0.30
Shiō Fukuda;jp JPN;FW;Gladbach;de Bundesliga;20;2004;6;0;60;0.7;1;0;1;1;0;0;0;0;0.4;0.4;0.0;0.4;0;1;3;1.50;0.00;1.50;1.50;1.50;0.65;0.00;0.65;0.65;0.65
Angelo Fulgini;fr FRA;MF,FW;Lens;fr Ligue 1;27;1996;23;11;1045;11.6;1;1;2;1;0;0;3;0;2.4;2.4;3.8;6.2;29;69;113;0.09;0.09;0.17;0.09;0.17;0.21;0.33;0.53;0.21;0.53
Niclas Füllkrug;de GER;FW;West Ham;eng Premier League;31;1993;18;6;790;8.8;3;2;5;3;0;0;2;0;2.2;2.2;1.9;4.1;7;14;31;0.34;0.23;0.57;0.34;0.57;0.25;0.22;0.46;0.25;0.46
Kyogo Furuhashi;jp JPN;FW;Rennes;fr Ligue 1;29;1995;6;1;123;1.4;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;0;3;0.00;0.00;0.00;0.00;0.00;0.09;0.00;0.09;0.09;0.09
Manuel Fuster;es ESP;FW,MF;Las Palmas;es La Liga;26;1997;28;8;1003;11.1;2;1;3;2;0;0;2;0;0.7;0.7;1.8;2.5;23;71;75;0.18;0.09;0.27;0.18;0.27;0.07;0.16;0.23;0.07;0.23
Matteo Gabbia;it ITA;DF;Milan;it Serie A;24;1999;26;24;2152;23.9;2;0;2;2;0;0;4;0;1.1;1.1;0.2;1.3;13;74;2;0.08;0.00;0.08;0.08;0.08;0.05;0.01;0.05;0.05;0.05
Tommaso Gabellini;it ITA;FW;Torino;it Serie A;17;2006;1;0;10;0.1;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;1;0;0;0.00;0.00;0.00;0.00;0.00;0.45;0.00;0.45;0.45;0.45
Tiago Gabriel;pt POR;DF;Lecce;it Serie A;19;2004;2;0;96;1.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Alessandro Gabrielloni;it ITA;FW,MF;Como;it Serie A;30;1994;15;0;142;1.6;1;1;2;1;0;0;1;0;0.3;0.3;0.8;1.1;5;6;13;0.63;0.63;1.27;0.63;1.27;0.19;0.49;0.68;0.19;0.68
Gianluca Gaetano;it ITA;MF,FW;Cagliari;it Serie A;24;2000;28;8;1009;11.2;2;4;6;2;0;0;0;0;4.9;4.9;2.2;7.1;11;41;82;0.18;0.36;0.54;0.18;0.54;0.43;0.20;0.63;0.43;0.63
Roberto Gagliardini;it ITA;MF,DF;Monza;it Serie A;30;1994;8;0;180;2.0;0;0;0;0;0;0;1;0;0.0;0.0;0.2;0.2;5;11;3;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.09;0.00;0.09
Cody Gakpo;nl NED;FW;Liverpool;eng Premier League;25;1999;35;23;1935;21.5;10;4;14;10;0;0;5;0;7.1;7.1;4.4;11.5;59;52;278;0.47;0.19;0.65;0.47;0.65;0.33;0.20;0.53;0.33;0.53
Javi Galán;es ESP;DF;Atlético Madrid;es La Liga;29;1994;25;21;1784;19.8;0;3;3;0;0;0;8;0;0.2;0.2;3.9;4.1;52;54;107;0.00;0.15;0.15;0.00;0.15;0.01;0.19;0.20;0.01;0.20
Iñigo Ruiz de Galarreta;es ESP;MF;Athletic Club;es La Liga;30;1993;26;18;1477;16.4;0;4;4;0;0;0;5;0;0.5;0.5;2.9;3.4;27;137;39;0.00;0.24;0.24;0.00;0.24;0.03;0.18;0.21;0.03;0.21
Conor Gallagher;eng ENG;MF;Atlético Madrid;es La Liga;24;2000;32;19;1633;18.1;3;3;6;3;0;0;2;0;2.8;2.8;1.2;3.9;24;64;64;0.17;0.17;0.33;0.17;0.33;0.15;0.06;0.22;0.15;0.22
Antonino Gallo;it ITA;DF;Lecce;it Serie A;24;2000;31;31;2609;29.0;0;2;2;0;0;0;3;1;0.3;0.3;2.7;3.0;57;107;110;0.00;0.07;0.07;0.00;0.07;0.01;0.09;0.10;0.01;0.10
Gauthier Gallon;fr FRA;GK;Rennes;fr Ligue 1;31;1993;1;0;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Cristian Gamboa;cr CRC;DF;Bochum;de Bundesliga;34;1989;12;1;226;2.5;1;0;1;1;0;0;1;0;0.2;0.2;0.2;0.3;2;5;9;0.40;0.00;0.40;0.40;0.40;0.06;0.07;0.14;0.06;0.14
